source_row_id,names,orig_title,release_year,reason,unmatched_reason,best_candidate_title,best_candidate_original_title,best_candidate_year,best_candidate_tmdb_id,best_candidate_confidence,duplicate_of_tmdb_id
4218,The Count of Monte-Cristo,The Count of Monte-Cristo,1976.0,Confidence below threshold (0.80 < 0.82).,Confidence below threshold (0.80 < 0.82).,The Count of Monte-Cristo,The Count of Monte-Cristo,1975.0,4546.0,0.8016,
4219,The Three Musketeers,The Three Musketeers,1973.0,Ambiguous candidates with similar confidence.,Ambiguous candidates with similar confidence.,The Three Musketeers,The Three Musketeers,1973.0,428181.0,0.9318,
4232,Fist of Fury,精武門,1973.0,Confidence below threshold (0.82 < 0.82).,Confidence below threshold (0.82 < 0.82).,Fist of Fury,精武門,1972.0,11713.0,0.8174,
4236,Stand by Me,Stand by Me,1987.0,Confidence below threshold (0.81 < 0.82).,Confidence below threshold (0.81 < 0.82).,Stand by Me,Stand by Me,1986.0,235.0,0.8149,
4238,Goal!,Goal!,2006.0,Confidence below threshold (0.69 < 0.82).,Confidence below threshold (0.69 < 0.82).,Goal Dreams,Goal Dreams,2006.0,1211246.0,0.6928,
4249,The Ballad of Alan Batman,The Ballad of Alan Batman,2023.0,No TMDB candidates found.,No TMDB candidates found.,,,,,0.0,
4255,Teenage Mutant Ninja Turtles: Mutant Mayhem,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023.0,Not released status.,Not released status.,,,,,,
4258,Night of the Living Dead,Night of the Living Dead,1968.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
4259,Young Mother 2,젊은 엄마 2,2014.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
4263,Halloween,Halloween,2007.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
4264,Halloween,Halloween,2007.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
4272,Morgue,Morgue,2021.0,Best title similarity below threshold.,Best title similarity below threshold.,Let's Stop at the Morgue,Let's Stop at the Morgue,2021.0,918621.0,0.4982,
4278,Patch Adams,Patch Adams,1999.0,Confidence below threshold (0.79 < 0.82).,Confidence below threshold (0.79 < 0.82).,The Real Patch Adams,The Real Patch Adams,1999.0,1608865.0,0.7866,
4294,Cloud Atlas,Cloud Atlas,2013.0,Confidence below threshold (0.65 < 0.82).,Confidence below threshold (0.65 < 0.82).,Cloud Atlas: A Film Like No Other,Cloud Atlas: A Film Like No Other,2013.0,1660277.0,0.6507,
4315,Unforgettable,Unforgettable,2017.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
4318,Faster,Faster,2011.0,Best title similarity below threshold.,Best title similarity below threshold.,Faster Than the Speed of Light?,Faster Than the Speed of Light?,2011.0,488338.0,0.5833,
4322,Borat Subsequent Moviefilm,Borat Subsequent Moviefilm,2020.0,Best title similarity below threshold.,Best title similarity below threshold.,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020.0,740985.0,0.7029,
4327,The House of the Lord,The House of the Lord,2023.0,Best title similarity below threshold.,Best title similarity below threshold.,A Doll House in the Memory of the Men and Their Dreams of Ash Buried Under the Sight of Midnight for the Sweet Rods of the Sweet Rods of the Warren Farm Cover the True Lord of the Cage and the Lullabies,A Doll House in the Memory of the Men and Their Dreams of Ash Buried Under the Sight of Midnight for the Sweet Rods of the Sweet Rods of the Warren Farm Cover the True Lord of the Cage and the Lullabies,2023.0,1165747.0,0.3904,
4328,Female War: A Nasty Deal,여자전쟁: 비열한 거래,2015.0,No TMDB candidates found.,No TMDB candidates found.,,,,,0.0,
4345,Phantastische Harry Potter Momente - Das große SAT.1 Spezial,Phantastische Harry Potter Momente - Das große SAT.1 Spezial,2021.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
