source_row_id,names,orig_title,release_year,reason,unmatched_reason,best_candidate_title,best_candidate_original_title,best_candidate_year,best_candidate_tmdb_id,best_candidate_confidence,duplicate_of_tmdb_id
5106,mid90s,mid90s,2019.0,Confidence below threshold (0.82 < 0.82).,Confidence below threshold (0.82 < 0.82).,mid90s,mid90s,2018.0,437586.0,0.8189,
5117,Heidi,Heidi,2019.0,Confidence below threshold (0.76 < 0.82).,Confidence below threshold (0.76 < 0.82).,Heidi,Heidi,2019.0,584260.0,0.7614,
5119,Hilda Crack 7,Hilda Crack 7,2023.0,No TMDB candidates found.,No TMDB candidates found.,,,,,0.0,
5124,The Ten Commandments,The Ten Commandments,2007.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
5146,Flower and Snake 2: Sketch of Hell,花と蛇 地獄篇,1985.0,No TMDB candidates found.,No TMDB candidates found.,,,,,0.0,
5148,Casino Royale,Casino Royale,1989.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
5149,Casino Royale,Casino Royale,1989.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
5182,The Muppets,The Muppets,2012.0,Confidence below threshold (0.68 < 0.82).,Confidence below threshold (0.68 < 0.82).,The Muppets All-Star Comedy Gala,The Muppets All-Star Comedy Gala,2012.0,159173.0,0.6811,
5215,Die neuen Abenteuer des Sanitätsgefreiten Neumann,Die neuen Abenteuer des Sanitätsgefreiten Neumann,1978.0,No TMDB candidates found.,No TMDB candidates found.,,,,,0.0,
5218,47 Meters Down,47 Meters Down,2019.0,Confidence below threshold (0.81 < 0.82).,Confidence below threshold (0.81 < 0.82).,47 Meters Down: Uncaged,47 Meters Down: Uncaged,2019.0,480105.0,0.8109,
5233,Closer,Closer,2005.0,Best title similarity below threshold.,Best title similarity below threshold.,The Closer She Gets,The Closer She Gets,2005.0,674693.0,0.6842,
5235,King Kong,King Kong,1933.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
5236,King Kong,King Kong,1933.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
5239,Traffic,Traffic,2001.0,Best title similarity below threshold.,Best title similarity below threshold.,S.P.I.T.: Squeegee Punks In Traffic,S.P.I.T.: Squeegee Punks In Traffic,2001.0,490161.0,0.6231,
5241,The Healer,The Healer,2016.0,Ambiguous candidates with similar confidence.,Ambiguous candidates with similar confidence.,The Healer,The Healer,2016.0,527596.0,0.9111,
5245,Thumbelina,Thumbelina,1994.0,Ambiguous candidates with similar confidence.,Ambiguous candidates with similar confidence.,Thumbelina,Thumbelina,1994.0,28032.0,0.8885,
5276,Boogie Nights,Boogie Nights,1998.0,Confidence below threshold (0.80 < 0.82).,Confidence below threshold (0.80 < 0.82).,Boogie Nights,Boogie Nights,1997.0,4995.0,0.7982,
5278,The Hunt,Jagten,2013.0,Confidence below threshold (0.74 < 0.82).,Confidence below threshold (0.74 < 0.82).,The Hunt,The Hunt,2013.0,211865.0,0.7365,
5282,Inside Llewyn Davis,Inside Llewyn Davis,2014.0,Confidence below threshold (0.82 < 0.82).,Confidence below threshold (0.82 < 0.82).,Inside 'Inside Llewyn Davis',Inside 'Inside Llewyn Davis',2014.0,288846.0,0.82,
5291,Trick 'r Treat,Trick 'r Treat,2022.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
5315,Yojimbo,用心棒,2000.0,Best title similarity below threshold.,Best title similarity below threshold.,あぐら剣法無頼帖　用心棒と好色一代男,あぐら剣法無頼帖　用心棒と好色一代男,,1720295.0,0.4786,
5318,Koichiro Uno's Caressing the Peach,宇能鴻一郎の桃さぐり,1985.0,No TMDB candidates found.,No TMDB candidates found.,,,,,0.0,
5328,The Machinist,The Machinist,2005.0,Confidence below threshold (0.68 < 0.82).,Confidence below threshold (0.68 < 0.82).,The Machinist ... Breaking the Rules,The Machinist ... Breaking the Rules,2005.0,413339.0,0.6826,
5329,The Man in the Iron Mask,The Man in the Iron Mask,1998.0,Ambiguous candidates with similar confidence.,Ambiguous candidates with similar confidence.,The Man in the Iron Mask,The Man in the Iron Mask,1998.0,9313.0,1.0,
5336,The Island,The Island,2005.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
5340,Peter Pan & Wendy,Peter Pan & Wendy,2023.0,Not released status.,Not released status.,,,,,,
5388,The Awakening,The Awakening,2012.0,Confidence below threshold (0.76 < 0.82).,Confidence below threshold (0.76 < 0.82).,Blue Lagoon: The Awakening,Blue Lagoon: The Awakening,2012.0,115290.0,0.7644,
5389,Mi Prima La Sexóloga,Mi Prima La Sexóloga,2016.0,Confidence below threshold (0.79 < 0.82).,Confidence below threshold (0.79 < 0.82).,Mi prima la sexóloga,Mi prima la sexóloga,2016.0,525686.0,0.7895,
5392,Harriet,Harriet,2020.0,Best title similarity below threshold.,Best title similarity below threshold.,Harriet & Her Husbands,Harriet & Her Husbands,2020.0,1139531.0,0.6921,
5400,Porky's,Porky's,1984.0,Confidence below threshold (0.66 < 0.82).,Confidence below threshold (0.66 < 0.82).,Porky's Revenge,Porky's Revenge,1985.0,23919.0,0.6583,
5412,Hotel Rwanda,Hotel Rwanda,2005.0,Best title similarity below threshold.,Best title similarity below threshold.,A Message for Peace: Making 'Hotel Rwanda',A Message for Peace: Making 'Hotel Rwanda',2005.0,1550256.0,0.6443,
5433,Prey,Prey,2009.0,Ambiguous candidates with similar confidence.,Ambiguous candidates with similar confidence.,Prey,Prey,2009.0,74024.0,0.922,
5436,Escape Room,Escape Room,2017.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
5439,Oppenheimer,Oppenheimer,2023.0,Not released status.,Not released status.,,,,,,
5441,Summer Wars,サマーウォーズ,2010.0,Confidence below threshold (0.82 < 0.82).,Confidence below threshold (0.82 < 0.82).,Summer Wars,サマーウォーズ,2009.0,28874.0,0.8178,
5453,"Sex, Party and Lies",Mentiras y gordas,2011.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
5473,The Sting,The Sting,1974.0,Best title similarity below threshold.,Best title similarity below threshold.,"Muhammad Ali, the Greatest","Muhammad Ali, the Greatest",1974.0,29211.0,0.3884,
5489,Love Wrecked,Love Wrecked,2007.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
5491,Crash,Crash,2005.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
5506,The Ark,El arca,2007.0,Confidence below threshold (0.81 < 0.82).,Confidence below threshold (0.81 < 0.82).,Noah's Ark,El Arca de Noe,2007.0,46219.0,0.8147,
5519,Mighty Morphin Power Rangers: Once & Always,Mighty Morphin Power Rangers: Once & Always,2023.0,Not released status.,Not released status.,,,,,,
5524,As Good as It Gets,As Good as It Gets,1998.0,Confidence below threshold (0.80 < 0.82).,Confidence below threshold (0.80 < 0.82).,As Good as It Gets,As Good as It Gets,1997.0,2898.0,0.7996,
5525,Ring,リング,2001.0,Best title similarity below threshold.,Best title similarity below threshold.,Quest for the Ring,Quest for the Ring,2001.0,445652.0,0.4886,
5538,Twins,Twins,1989.0,Confidence below threshold (0.61 < 0.82).,Confidence below threshold (0.61 < 0.82).,The Twins,Τα Δίδυμα,1989.0,554274.0,0.612,
5546,Misery,Misery,1991.0,Confidence below threshold (0.82 < 0.82).,Confidence below threshold (0.82 < 0.82).,Misery,Misery,1990.0,1700.0,0.8191,
5549,The Hurricane,The Hurricane,2000.0,Confidence below threshold (0.65 < 0.82).,Confidence below threshold (0.65 < 0.82).,Hurricane Touchdown,デジモンアドベンチャー02 前編・デジモンハリケーン上陸!!／後編・超絶進化!!黄金のデジメンタル,2000.0,98299.0,0.6478,
5552,Masquerade,Masquerade,2022.0,Confidence below threshold (0.76 < 0.82).,Confidence below threshold (0.76 < 0.82).,Masquerade,Mascarade,2022.0,892515.0,0.7635,
5557,The Seventh Seal,Det sjunde inseglet,2005.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
5561,Around the World in 80 Days,Around the World in 80 Days,2004.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
5572,The Tale of The Princess Kaguya,かぐや姫の物語,2014.0,Confidence below threshold (0.77 < 0.82).,Confidence below threshold (0.77 < 0.82).,Isao Takahata and His Tale of The Princess Kaguya,高畑勲、『かぐや姫の物語』をつくる。〜ジブリ第7スタジオ、933日の伝説〜,2014.0,332406.0,0.7691,
5588,In Full Bloom,In Full Bloom,2020.0,Confidence below threshold (0.55 < 0.82).,Confidence below threshold (0.55 < 0.82).,In full bloom,In full bloom,2020.0,829174.0,0.5521,
5594,Assassins,Assassins,2020.0,Confidence below threshold (0.72 < 0.82).,Confidence below threshold (0.72 < 0.82).,Sniper: Assassin's End,Sniper: Assassin's End,2020.0,702936.0,0.7235,
5598,Life,Hayat,2023.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
5611,Sailor Moon SuperS: The Movie: Black Dream Hole,劇場版 美少女戦士セーラームーンSuperS セーラー9戦士集結!ブラック・ドリーム・ホールの奇跡,2002.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
5615,The Last Kingdom: Seven Kings Must Die,The Last Kingdom: Seven Kings Must Die,2023.0,Not released status.,Not released status.,,,,,,
5627,Sabrina,Sabrina,1955.0,Confidence below threshold (0.66 < 0.82).,Confidence below threshold (0.66 < 0.82).,At Home with Sabrina,At Home with Sabrina,1955.0,1418814.0,0.6568,
5629,The Phantom of the Opera,The Phantom of the Opera,2004.0,Ambiguous candidates with similar confidence.,Ambiguous candidates with similar confidence.,The Phantom of the Opera,The Phantom of the Opera,2004.0,9833.0,0.9126,
5637,Onimanji,Onimanji,2023.0,Confidence below threshold (0.67 < 0.82).,Confidence below threshold (0.67 < 0.82).,Samurai Ninja Onimanji,鬼卍,2023.0,1106491.0,0.6739,
5643,Born To Fly,长空之王,2023.0,Not released status.,Not released status.,,,,,,
5657,Rear Window,Rear Window,1955.0,Best title similarity below threshold.,Best title similarity below threshold.,Backyard Adventures,後窗,1955.0,957411.0,0.4036,
5672,My Neighbors the Yamadas,ホーホケキョ となりの山田くん,2005.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
5681,Chicago,Chicago,2003.0,Confidence below threshold (0.75 < 0.82).,Confidence below threshold (0.75 < 0.82).,Chicago's Metra,Chicago's Metra,2003.0,788627.0,0.7474,
5685,丈夫去上班的日子里,丈夫去上班的日子里,2019.0,Confidence below threshold (0.77 < 0.82).,Confidence below threshold (0.77 < 0.82).,丈夫去上班的日子里,丈夫去上班的日子里,2019.0,859173.0,0.775,
5693,Jackie Brown,Jackie Brown,2020.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
5697,Venom,Venom,2005.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
5699,Power Rangers,Power Rangers,2015.0,Best title similarity below threshold.,Best title similarity below threshold.,Power Rangers Super Megaforce: The Legendary Battle,Power Rangers Super Megaforce: The Legendary Battle,2015.0,306264.0,0.6648,
5704,Mom's Friend,엄마친구,2015.0,Best title similarity below threshold.,Best title similarity below threshold.,Sneaking friend's mom,몰래먹는 친구엄마,,992823.0,0.5682,
5718,Modern Times,Modern Times,1938.0,Confidence below threshold (0.60 < 0.82).,Confidence below threshold (0.60 < 0.82).,Modern Times: A Closer Look,Modern Times: A Closer Look,,989131.0,0.6047,
5753,Macross: Do You Remember Love?,超時空要塞マクロス 愛・おぼえていますか,2015.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
5767,Mafia Mamma,Mafia Mamma,2023.0,Not released status.,Not released status.,,,,,,
5769,Wer,Wer,2014.0,Best title similarity below threshold.,Best title similarity below threshold.,As You Were,As You Were,2014.0,790564.0,0.661,
5790,New Initial D the Movie - Legend 3: Dream,頭文字D Legend3 夢現,2016.0,Confidence below threshold (0.82 < 0.82).,Confidence below threshold (0.82 < 0.82).,Initial D Legend 3: Dream,新劇場版「頭文字D」Legend3 -夢現-,2016.0,372758.0,0.8187,
5794,Dial M for Murder,Dial M for Murder,1955.0,Confidence below threshold (0.81 < 0.82).,Confidence below threshold (0.81 < 0.82).,Dial M for Murder,Dial M for Murder,1954.0,521.0,0.8121,
5798,The Paperboy,The Paperboy,2013.0,Confidence below threshold (0.80 < 0.82).,Confidence below threshold (0.80 < 0.82).,The Paperboy,The Paperboy,2012.0,82390.0,0.8022,
5803,Revolt,Revolt,2018.0,Best title similarity below threshold.,Best title similarity below threshold.,The Madness Of Tellaralette Seville,The Madness Of Tellaralette Seville,2018.0,525665.0,0.5486,
5838,X+Y,X+Y,2015.0,Best title similarity below threshold.,Best title similarity below threshold.,Kill Me Three Times,Kill Me Three Times,2015.0,237756.0,0.4682,
5839,Three Christs,Three Christs,2020.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
5843,Sailor Moon R: The Movie,劇場版 美少女戦士セーラームーンR,2000.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
5849,First Daughter,First Daughter,2006.0,Best title similarity below threshold.,Best title similarity below threshold.,Chop-chopped First Lady + Chop-Chopped First Daughter,Chop-chopped First Lady + Chop-Chopped First Daughter,2005.0,1001545.0,0.4038,
5890,The House of Magic,The House of Magic,2015.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
5917,Children of Heaven,بچه‌های آسمان,1999.0,Confidence below threshold (0.57 < 0.82).,Confidence below threshold (0.57 < 0.82).,天堂赤子心 بچه‌های آسمان,天堂赤子心 بچه‌های آسمان,,1721922.0,0.5656,
5919,Psycho-Pass: The Movie,劇場版 サイコパス,2016.0,Confidence below threshold (0.67 < 0.82).,Confidence below threshold (0.67 < 0.82).,PSYCHO-PASS: The Movie,劇場版 PSYCHO-PASS サイコパス,2015.0,296917.0,0.6736,
5932,The Apartment,The Apartment,2004.0,Confidence below threshold (0.76 < 0.82).,Confidence below threshold (0.76 < 0.82).,The Apartment,Apartamentul,2004.0,88836.0,0.7614,
5940,Infernal Affairs,無間道,2003.0,Ambiguous candidates with similar confidence.,Ambiguous candidates with similar confidence.,Infernal Affairs II,無間道II,2003.0,11647.0,0.8763,
5951,The X Files: I Want to Believe,The X Files: I Want to Believe,2008.0,Confidence below threshold (0.80 < 0.82).,Confidence below threshold (0.80 < 0.82).,The X-Files: I Want to Believe,The X-Files: I Want to Believe,2008.0,8836.0,0.7984,
5989,Maya the Bee Movie,Maya the Bee Movie,2021.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
5996,Duel,Duel,1973.0,Confidence below threshold (0.61 < 0.82).,Confidence below threshold (0.61 < 0.82).,The Duel,Плохой хороший человек,1973.0,75383.0,0.6125,
6014,The Nightingale,The Nightingale,2019.0,Confidence below threshold (0.69 < 0.82).,Confidence below threshold (0.69 < 0.82).,The Nightingale Sings,Соловей співає,2019.0,646239.0,0.6863,
6033,Chaos,Chaos,2006.0,Confidence below threshold (0.78 < 0.82).,Confidence below threshold (0.78 < 0.82).,Chaos,Chaos,2006.0,155675.0,0.7761,
6037,Czyściec,Czyściec,2022.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
6041,Giant,Giant,1957.0,Confidence below threshold (0.69 < 0.82).,Confidence below threshold (0.69 < 0.82).,The Giant Claw,The Giant Claw,1957.0,36089.0,0.6885,
6045,Flatliners,Flatliners,1990.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
6056,Barbie in Princess Power,Barbie in Princess Power,2017.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
6058,Belfast,Belfast,2022.0,Confidence below threshold (0.70 < 0.82).,Confidence below threshold (0.70 < 0.82).,The Grain of Belfast,The Grain of Belfast,2022.0,1114174.0,0.6959,
6061,Lupin the Third: The Castle of Cagliostro,ルパン三世 カリオストロの城,1995.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
6090,Dreamland,Dreamland,2020.0,Best title similarity below threshold.,Best title similarity below threshold.,Glass Animals - Dreamland: The Home Movies,Glass Animals - Dreamland: The Home Movies,2020.0,1341935.0,0.6102,
6094,Ophelia,Ophelia,2018.0,Confidence below threshold (0.76 < 0.82).,Confidence below threshold (0.76 < 0.82).,Ophelia,Ophelia,2018.0,1169818.0,0.7595,
6111,Stewie Griffin: The Untold Story,Stewie Griffin: The Untold Story,2006.0,Confidence below threshold (0.79 < 0.82).,Confidence below threshold (0.79 < 0.82).,Stewie Griffin: The Untold Story,Stewie Griffin: The Untold Story,2005.0,65215.0,0.7919,
6120,Free Birds,Free Birds,2014.0,Confidence below threshold (0.77 < 0.82).,Confidence below threshold (0.77 < 0.82).,Free Birds,Свободные птицы,2014.0,1270951.0,0.775,
6127,Mad God,Mad God,2022.0,Confidence below threshold (0.57 < 0.82).,Confidence below threshold (0.57 < 0.82).,Mad God Ghoul Log,Mad God Ghoul Log,2022.0,1031141.0,0.5734,
6133,Ran,乱,1986.0,Best title similarity below threshold.,Best title similarity below threshold.,Reipuhantā: Tōrima,レイプハンター　通り魔,1986.0,973132.0,0.6019,
6143,Snake and Whip,団鬼六 蛇と鞭,1986.0,No TMDB candidates found.,No TMDB candidates found.,,,,,0.0,
6146,Ben 10 protiv Univerzuma: Film,Ben 10 protiv Univerzuma: Film,2020.0,No TMDB candidates found.,No TMDB candidates found.,,,,,0.0,
6157,Avengers: Quantum Encounter,Avengers: Quantum Encounter,2022.0,No TMDB candidates found.,No TMDB candidates found.,,,,,0.0,
6177,Vampire Hunter D,バンパイアハンターD,2004.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
6182,Maggie Simpson in Playdate with Destiny,Maggie Simpson in Playdate with Destiny,2020.0,Confidence below threshold (0.82 < 0.82).,Confidence below threshold (0.82 < 0.82).,"Maggie Simpson in ""Playdate with Destiny""","Maggie Simpson in ""Playdate with Destiny""",2020.0,673595.0,0.8184,
6202,The Ten Commandments,The Ten Commandments,1923.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
6208,Sydney White,Sydney White,2008.0,Confidence below threshold (0.80 < 0.82).,Confidence below threshold (0.80 < 0.82).,Sydney White,Sydney White,2007.0,10760.0,0.8039,
6219,The Quiet,The Quiet,2006.0,Confidence below threshold (0.75 < 0.82).,Confidence below threshold (0.75 < 0.82).,The Quietest Sound,The Quietest Sound,2006.0,611465.0,0.7544,
6254,Drumline,Drumline,2004.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
6260,Blue Story,Blue Story,2020.0,Best title similarity below threshold.,Best title similarity below threshold.,Blue Code of Silence,Blue Code of Silence,2020.0,750775.0,0.6752,
6264,Honey,Honey,2004.0,Confidence below threshold (0.77 < 0.82).,Confidence below threshold (0.77 < 0.82).,Honey,Schat,2004.0,352712.0,0.7717,
6265,The Blob,The Blob,1989.0,Confidence below threshold (0.69 < 0.82).,Confidence below threshold (0.69 < 0.82).,Journey of the Blob,Journey of the Blob,1989.0,768270.0,0.6937,
6266,Nosferatu,"Nosferatu, eine Symphonie des Grauens",2013.0,Confidence below threshold (0.52 < 0.82).,Confidence below threshold (0.52 < 0.82).,Nosferatu in Love,Nosferatu in Love,2014.0,348636.0,0.5233,
6272,The Tale of Despereaux,The Tale of Despereaux,2014.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
6288,The NeverEnding Story III,The NeverEnding Story III,1995.0,Confidence below threshold (0.75 < 0.82).,Confidence below threshold (0.75 < 0.82).,The NeverEnding Story III,Die unendliche Geschichte III - Rettung aus Phantásien,1994.0,27793.0,0.75,
6294,News of the World,News of the World,2021.0,Best title similarity below threshold.,Best title similarity below threshold.,After Floyd: The Year that Shook the World – A Soul of a Nation Special,After Floyd: The Year that Shook the World – A Soul of a Nation Special,2021.0,837971.0,0.6131,
6306,Married Women: Husband Change,유부녀들: 남편 바꾸기,2020.0,No TMDB candidates found.,No TMDB candidates found.,,,,,0.0,
6315,Sator,Sator,2020.0,Best title similarity below threshold.,Best title similarity below threshold.,Satori [Awakening],Satori [Awakening],2020.0,723976.0,0.6562,
6324,My Hero Academia: World Heroes' Mission – Take-off,僕のヒーローアカデミア THE MOVIE ワールド ヒーローズ ミッション ≪旅立ち≫,2022.0,Confidence below threshold (0.76 < 0.82).,Confidence below threshold (0.76 < 0.82).,My Hero Academia: World Heroes' Mission,僕のヒーローアカデミア THE MOVIE ワールド ヒーローズ ミッション,2021.0,768744.0,0.7605,
6333,Ronin,Ronin,1999.0,Best title similarity below threshold.,Best title similarity below threshold.,Ronin Romance Classics,Ronin Romance Classics,1999.0,1254771.0,0.6344,
6336,New Initial D the Movie - Legend 1: Awakening,頭文字D Legend1 覚醒,2014.0,Confidence below threshold (0.81 < 0.82).,Confidence below threshold (0.81 < 0.82).,Initial D Legend 1: Awakening,新劇場版「頭文字D」Legend1 -覚醒-,2014.0,271709.0,0.8125,
6345,Asterix & Obelix Take on Caesar,Astérix & Obélix contre César,2006.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
6365,Death of Me,Death of Me,2021.0,Confidence below threshold (0.76 < 0.82).,Confidence below threshold (0.76 < 0.82).,"Tara, Messenger of Death","Tara, Messenger of Death",2021.0,903422.0,0.7556,
6371,Gothika,Gothika,2004.0,Best title similarity below threshold.,Best title similarity below threshold.,On the Set of 'Gothika',On the Set of 'Gothika',2004.0,1548293.0,0.645,
6373,Two by Two: Overboard!,Two by Two: Overboard!,2021.0,Confidence below threshold (0.79 < 0.82).,Confidence below threshold (0.79 < 0.82).,Two by Two: Overboard!,Two by Two: Overboard!,2020.0,587562.0,0.7856,
6374,Big Game,Big Game,2015.0,Confidence below threshold (0.81 < 0.82).,Confidence below threshold (0.81 < 0.82).,Big Cat Games,Big Cat Games,2015.0,721509.0,0.8136,
6396,The Day the Earth Stood Still,The Day the Earth Stood Still,1951.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
6397,Sunny Side Battle!,"サニー・サイド・バトル!!!, Sanī Saido Batoru!!!",2014.0,Confidence below threshold (0.75 < 0.82).,Confidence below threshold (0.75 < 0.82).,Naruto OVA 11: Sunny Side Battle,NARUTO-ナルト-疾風伝サニー・サイド・バトル,2013.0,698916.0,0.7472,
6425,Snitch,Snitch,2013.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
6433,"Furin, hentai, monmon chômon",不倫、変態、悶々弔問,2019.0,No TMDB candidates found.,No TMDB candidates found.,,,,,0.0,
6438,The 400 Blows,Les Quatre Cents Coups,2003.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
6440,The Story of Super Mario Kart,The Story of Super Mario Kart,2022.0,No TMDB candidates found.,No TMDB candidates found.,,,,,0.0,
6458,It,It,2017.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
6479,Mother's Day,Mother's Day,2016.0,Ambiguous candidates with similar confidence.,Ambiguous candidates with similar confidence.,Mother's Day,Mother's Day,2016.0,353069.0,0.9184,
6499,The Fog,The Fog,1980.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
6503,Scream,Scream,1981.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
6507,Grave Encounters,Grave Encounters,2012.0,duplicate_tmdb_id,duplicate_tmdb_id,Grave Encounters 2,Grave Encounters 2,2012.0,134366.0,0.8914,134366.0
6515,Animal Farm,Animal Farm,1984.0,Confidence below threshold (0.77 < 0.82).,Confidence below threshold (0.77 < 0.82).,Animal Farm,Animal Farm,,1475453.0,0.7706,
6542,Julius Caesar,Julius Caesar,2002.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
6546,Shaft,Shaft,2000.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
6585,Guilty of Romance,恋の罪,2011.0,No TMDB candidates found.,No TMDB candidates found.,,,,,0.0,
6592,The Thomas Crown Affair,The Thomas Crown Affair,1969.0,Confidence below threshold (0.81 < 0.82).,Confidence below threshold (0.81 < 0.82).,The Thomas Crown Affair,The Thomas Crown Affair,1968.0,912.0,0.8146,
6611,Innerspace,Innerspace,2020.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
6618,Intruders,Intruders,2016.0,Confidence below threshold (0.77 < 0.82).,Confidence below threshold (0.77 < 0.82).,Intruders,Vill mark,2016.0,664207.0,0.7671,
6641,Fast Times at Ridgemont High,Fast Times at Ridgemont High,1995.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
6643,A Higher Law,Balaur,2021.0,Best title similarity below threshold.,Best title similarity below threshold.,Daniel and the Dragon,Daniel și balaurul,2022.0,1199072.0,0.5249,
6656,Flatliners,Flatliners,2018.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
6672,Halo 3 Essentials,Halo 3 Essentials,2007.0,No TMDB candidates found.,No TMDB candidates found.,,,,,0.0,
6700,The Wrestler,The Wrestler,2009.0,Best title similarity below threshold.,Best title similarity below threshold.,Within the Ring,Within the Ring,2009.0,816567.0,0.5481,
6718,Antiporno,アンチポルノ,2017.0,Confidence below threshold (0.61 < 0.82).,Confidence below threshold (0.61 < 0.82).,Making of Antiporno,Making of Antiporno,2016.0,959305.0,0.6129,
6724,La Haine,La Haine,1996.0,Best title similarity below threshold.,Best title similarity below threshold.,A Thin Line Between Love and Hate,A Thin Line Between Love and Hate,1996.0,28121.0,0.4817,
6726,Like Stars on Earth,तारे ज़मीन पर,2009.0,Best candidate year differs by more than 1 year.,Best candidate year differs by more than 1 year.,,,,,0.0,
6742,Only Yesterday,おもひでぽろぽろ,2006.0,Confidence below threshold (0.46 < 0.82).,Confidence below threshold (0.46 < 0.82).,Only Yesterday: The Carpenters Story,Only Yesterday: The Carpenters Story,2007.0,466776.0,0.4625,
6760,Precious,Precious,2010.0,Confidence below threshold (0.79 < 0.82).,Confidence below threshold (0.79 < 0.82).,My Precious Si,My Precious Si,2010.0,1561233.0,0.7892,
6765,A Most Violent Year,A Most Violent Year,2015.0,Best title similarity below threshold.,Best title similarity below threshold.,"NYC, 1981","NYC, 1981",2015.0,681606.0,0.5276,
6782,Fatale,Fatale,2021.0,Confidence below threshold (0.77 < 0.82).,Confidence below threshold (0.77 < 0.82).,Fame Fatale,Fame Fatale,2021.0,891527.0,0.7666,
6804,Big Driver,Big Driver,2014.0,Ambiguous candidates with similar confidence.,Ambiguous candidates with similar confidence.,Big Driver,Big Driver,2014.0,1701327.0,0.9315,
6808,The Equalizer 3,The Equalizer 3,2023.0,Not released status.,Not released status.,,,,,,
6850,Death at a Funeral,Death at a Funeral,2007.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
6867,The Last House on the Left,The Last House on the Left,2004.0,Best title similarity below threshold.,Best title similarity below threshold.,Celluloid Crime of the Century,Celluloid Crime of the Century,2003.0,301170.0,0.5534,
6868,The Last House on the Left,The Last House on the Left,2004.0,Duplicate normalized title + year.,Duplicate normalized title + year.,,,,,,
6882,The Switch,The Switch,2011.0,Confidence below threshold (0.71 < 0.82).,Confidence below threshold (0.71 < 0.82).,Beyond the Light Switch,Beyond the Light Switch,2011.0,273669.0,0.7081,
6883,Deadpool: From Comics to Screen... to Screen,Deadpool: From Comics to Screen... to Screen,2016.0,Confidence below threshold (0.65 < 0.82).,Confidence below threshold (0.65 < 0.82).,Deadpool: From Comics to Screen... to Screen,Deadpool: From Comics to Screen... to Screen,,1423326.0,0.65,
